reference_number,procurement_id,vendor_name,vendor_postal_code,buyer_name,contract_date,economic_object_code,description_en,description_fr,contract_period_start,delivery_date,contract_value,original_value,amendment_value,comments_en,comments_fr,additional_comments_en,additional_comments_fr,agreement_type_code,trade_agreement,land_claims,commodity_type,commodity_code,country_of_vendor,solicitation_procedure,limited_tendering_reason,trade_agreement_exceptions,aboriginal_business,aboriginal_business_incidental,intellectual_property,potential_commercial_exploitation,former_public_servant,contracting_entity,standing_offer_number,instrument_type,ministers_office,number_of_bids,article_6_exceptions,award_criteria,socioeconomic_indicator,reporting_period,record_created,record_modified,user_modified,owner_org,owner_org_title
C-2018-2019-Q1-00182,4500380307,CANADIAN COPRS OF COMMISSIONAIRES,,,2018-05-17,460,Protection services,Services de protection,2018-05-17,2018-07-27,47254.72,47254.72,0,Protection Services,Services de protection,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,K105,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-182172/001/ZL,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00106,4500378378,CANADIAN CORPS OF COMMISSIONAIRES,,,2018-04-01,460,Protection services,Services de protection,2018-04-01,2019-03-31,84244.28,84244.28,0,Protection Services,Services de protection,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,K105,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-182172/001/ZL,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00108,4500378413,CANADIAN CORPS OF COMMISSIONAIRES,,,2018-04-01,460,Protection services,Services de protection,2018-04-01,2019-03-31,188651.71,188651.71,0,Protection Services,Services de protection,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,K105,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-182172/001/ZL,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00123,4500378854,CANADIAN CORPS OF COMMISSIONAIRES,,,2018-04-01,460,Protection services,Services de protection,2018-04-01,2019-03-31,36977.62,36977.62,0,Guard Services,Services de garde,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,K105,CA,TN,85,0,,N,C,,N,,PWSOSA,EN578-182172/001/ZL,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00054,4500377050,CANON CANADA INC,,,2018-04-30,533,"Rental of machinery, office furniture and fixtures and other equipment","Location de machinerie, de mobilier et d'installation de bureau, et d'autres équipement",2018-04-30,2020-04-30,19206.68,19206.68,0,ADP Input-Output and Storage Devices - Rental,Dispositifs TAD d'entrée-sortie et de mémoire - location,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,WR74,CA,TC,0,0,,N,C,,N,,PWSOSA,EZ107-120003/002/VAN,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00213,4500380995,CDW CANADA INC.,,,2018-04-01,583,License/Maintenance fees for application software (including COTS) and application development and delivery software,Licences/maintenance des logiciels d'applications et de bases de données (y compris les COTS) et logiciels de développement et de maintenance des applications et des bases de données,2018-04-01,2018-06-30,15153.55,15153.55,0,License/Maintenance Fees for Client Software,Frais de licence/maintenance des logiciels client,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,G,7030,CA,TN,86,0,,N,C,,N,,PWSOSA,EN578-100808/155/EE,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00225,4500381261,CENTRE DE LANGUES INTERNATIONALES,,,2018-06-11,44,Training and educational services,"
Services d'enseignement et de formation",2018-06-11,2018-07-31,10455,10455,0,Staff Language Training,Formation linguistique du personnel,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,U008,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-093429/009/ZF,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00153,4500379716,COMMISSIONAIRES BRITISH COLUMBIA,,,2018-05-04,460,Protection services,Services de protection,2018-05-04,2020-03-31,10461.36,10461.36,0,Guard Services,Services de garde,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,N,,,S,K105,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-182172/001/ZL,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00268,A010772531,CNW GROUP,,,2017-07-01,351,Communication Services,Services de communication,2017-07-01,2018-06-30,45397.52,33900.02,11497.5,"Communication, Photographic, Mapping, Printing and Publication Services","Services de communication, de photographie, de cartographie, d'impression, et de publication",Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,T002,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-170510/001/CY,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00156,4500379761,COLLIERS PROJECT LEADERS INC.,,,2018-05-14,491,Management consulting,Services de conseillers en gestion,2018-05-14,2018-09-30,23063.25,23063.25,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,85,0,,N,C,,N,,PWSOSA,E60ZT-180026/210/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00085,4500377945,COMMISSIONAIRES BRITISH COLUMBIA,,,2018-04-01,460,Protection services,Services de protection,2018-04-01,2019-03-31,107964.11,107964.11,0,Protection Services,Services de protection,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,K105,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-182172/001/ZL,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00122,4500378827,COPEM CONSULTING LTD,,,2018-04-11,491,Management consulting,Services de conseillers en gestion,2018-04-11,2019-03-31,24738,24738,0,Program Management/Support Services,Services de soutien et de gestion de programmes,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,85,0,,N,C,,N,,PWSOSA,E60ZT-180026/214/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00168,4500380107,DC STRATEGIC MANAGEMENT,,,2018-05-16,491,Management consulting,Services de conseillers en gestion,2018-05-16,2019-03-31,17915.63,17915.63,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TC,0,0,,N,C,,N,,PWSOSA,E60ZG-100004/007/ZG,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00075,4500377634,DECLARE IT,,,2018-04-01,447,Training and Curriculum Development,Élaboration de programmes de formation et programmes scolaires,2018-04-01,2019-03-31,37618.13,37618.13,0,Course Development and Training Counsultant,Développement d'un cours et formation consultant,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,I,,,S,U008,CA,TC,0,0,,N,C,,N,,PWSOSA,E60ZT-120001/140/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00240,4500381611,DELOITTE LLP,,,2018-06-20,499,Professional services ,Services professionnels ,2018-06-27,2018-07-31,24989.82,24989.82,0,Accounting and Audit Services,Services de comptabilité et de vérification,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,23,0,,N,C,,N,,PWSOSA,E60ZQ-140002/005/ZQ,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00184,4500380351,DONNA CONA INC,,,2018-05-18,491,Management consulting,Services de conseillers en gestion,2018-05-18,2018-09-30,104860.41,104860.41,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TC,0,0,,N,C,,N,,PWSOSA,E60ZT-180027/074/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00016,4500368497,DONNA CONA INC,,,2017-09-01,491,Management consulting,Services de conseillers en gestion,2017-09-01,2018-05-31,1258493.1,309225,340875,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,A,,,S,R199,CA,TC,0,0,,N,A5,N,N,,PWSOSA,EN578-170432/092/EI,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00024,4500374532,DONNA CONA INC,,,2018-01-26,473,Information technology and telecommunications consultants,Consultants en TI et en télécommunications,2018-01-26,2019-03-31,74733.75,40241.25,34492.5,IT Applications D&M Consultants,Conseillers en TI application,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TC,0,0,,N,A5,N,N,,,E60ZT-120001/185/ZT,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00233,4500381508,DYNAMIC PERSONNEL,,,2018-06-18,491,Management consulting,Services de conseillers en gestion,2018-06-18,2019-03-31,146877.68,146877.68,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,Y,,,S,R019,CA,OB,0,0,,N,C,,N,,PWSOSA,E60ZT-16TSPS/001/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00251,4500381776,DYNAMIX PROFESSIONAL VIDEO SYSTEMS,,,2018-06-25,1223,"Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)","Équipement de communications images/vidéos (comprend le câblage, les pièces et les périphériques)",2018-06-25,2018-07-31,15422.7,15422.7,0,Acq (incl Res) Image/Video Communications Equipment,Acq (incl res) matériel de communications image/vidéo,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,G,5820,CA,TN,85,0,,N,C,,N,,PWSOSA,E60HN-17AVSO/014/HN,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00020,4500373098,ECOLE DE LANGUES ABCE INC,,,2018-01-08,44,Training and educational services,"
Services d'enseignement et de formation",2018-01-08,2018-09-30,12810,9660,3150,Staff Language Training,Formation linguistique du personnel,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,N,,,S,U005,CA,TN,85,0,,N,C,,N,,PWSOSA,EN578-093429/010/ZF,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00113,4500378550,ECOLE DE LANGUES ABCE INC,,,2018-04-09,44,Training and educational services,"
Services d'enseignement et de formation",2018-04-09,2018-06-15,12802.5,12802.5,0,Staff Language Training,Formation linguistique du personnel,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,U005,CA,TC,0,0,,N,C,,N,,PWSOSA,EN578-093429/010/ZF,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00139,4500379342,EPSI INC.,,,2018-04-26,491,Management consulting,Services de conseillers en gestion,2018-04-26,2018-09-30,24900.72,24900.72,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,85,0,,N,C,,N,,PWSOSA,E60ZT-16TSSO/109/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00052,4500376804,EPSI INC.,,,2018-04-18,473,Information technology and telecommunications consultants,Consultants en TI et en télécommunications,2018-05-08,2019-03-31,55624.91,55624.91,0,IT Applications D&M Consultants,Conseillers en TI application,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TC,0,0,,N,C,,N,,,E60ZT-120001/053/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00107,4500378409,ESRI CANADA LTD,,,2018-04-16,473,Information technology and telecommunications consultants,Consultants en TI et en télécommunications,2018-04-16,2019-03-31,24791.49,24791.49,0,IT Applications D&M Consultants,Conseillers en TI application,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,85,0,,N,C,,N,,,E60ZT-120001/193/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00188,4500380435,EXCEL HUMAN RESOURCES,,,2018-05-25,813,Temporary help services,Services d'aide temporaire,2018-05-25,2018-09-28,24432.19,24432.19,0,Temporary Help Services Acquired For General Help,Services d'aide temporaire pour travail général,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R199,CA,TN,85,0,,N,C,,N,,PWSOSA,E60ZT-180027/081/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00271,A041674030,FREEBALANCE INC.,,,2018-04-01,583,License/Maintenance fees for application software (including COTS) and application development and delivery software,Licences/maintenance des logiciels d'applications et de bases de données (y compris les COTS) et logiciels de développement et de maintenance des applications et des bases de données,2018-04-01,2019-03-31,59850,59850,0,License/Maintenance Fees for Client Software,Frais de licence/maintenance des logiciels client,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,G,7030,CA,TN,87,0,,N,B,N,N,,PWSOSA,EN578-100808/047/EE,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00132,4500379104,GENESIS INTEGRATION,,,2018-04-19,1223,"Image/Video communications equipment (includes telepresence/video conferencing equipment, cabling, parts and peripherals)","Équipement de communications images/vidéos (comprend le câblage, les pièces et les périphériques)",2018-04-19,2018-05-15,16380,16380,0,Acq (incl Res) Image/Video Communications Equipment,Acq (incl res) matériel de communications image/vidéo,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,G,5820,CA,TC,0,0,,N,C,,N,,PWSOSA,E60HN-17AVSO/016/HN,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00278,A277052324,GEOLOGIC SYSTEMS LTD.,,,2016-07-01,1285,Application software (including COTS) and application development and delivery software,Logiciels d'applications et de bases de données (y compris les COTS) et logiciels de développement et de maintenance des applications et des bases de données,2016-07-01,2019-06-30,230609.61,153739.74,76869.87,Acq (incl Res) Application COTS Software,Acq (incl res) logiciels d'application COTS,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,C,,,G,7030,CA,OB,0,0,,N,B,Y,N,,,A2770-150009/001/CAL,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00028,4500376324,GOVERNMENT OF NUNAVUT,,,2018-02-27,859,Business services,Services commerciaux,2018-02-27,2018-08-31,441653.1,253306.2,188346.9,Utilities,Services publics,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,Y,,,S,M240,CA,TC,0,0,,N,C,,N,,PWSOSA,E60HL-172000/001/HL,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00138,4500379337,GROUPE INTERSOL GROUP: BRIN SHARP,,,2018-05-03,491,Management consulting,Services de conseillers en gestion,2018-05-03,2019-03-31,11786.25,11786.25,0,Program Management/Support Services,Services de soutien et de gestion de programmes,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,Y,,,S,R123,CA,TN,85,0,,N,C,,N,,PWSOSA,E60ZT-180028/133/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00235,4500381527,HAY GROUP LIMITED,,,2018-06-18,491,Management consulting,Services de conseillers en gestion,2018-06-18,2018-07-31,14238,14238,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,85,0,,N,C,,N,,PWSOSA,E60ZT-180028/116/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00270,A041664563,HEWLETT-PACKARD (CANADA) CO,,,2017-05-02,583,License/Maintenance fees for application software (including COTS) and application development and delivery software,Licences/maintenance des logiciels d'applications et de bases de données (y compris les COTS) et logiciels de développement et de maintenance des applications et des bases de données,2017-05-02,2018-03-31,59522.18,27944.99,31577.19,License/Maintenance Fees for Client Software,Frais de licence/maintenance des logiciels client,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,85,0,,N,B,N,N,,PWSOSA,EN869-111182,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00104,4500378271,I4C INFORMATION TECHNOLOGY,,,2018-04-01,362,Data and database access services,Services d'accès à des données et à des bases de données,2018-04-01,2018-06-30,113000,113000,0,Automatic Data Processing (ADP) Software,Logiciel de traitement automatique de données (TAD),Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,S,,,S,D309,CA,TC,0,0,,N,C,,N,,PWSOSA,E60ZT-16TSPS/174/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00097,4500378088,IRON MOUNTAIN,,,2018-04-01,859,Business services,Services commerciaux,2018-04-01,2019-03-31,67791.19,67791.19,0,Storage and Warehousing Services,Service d'emmagasinage et à l'entreposage,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,V505,CA,TN,85,0,,N,C,,N,,PWSOSA,E60LM-140024/002/LM,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00209,4500380936,INTERSOL GROUP LTD./GROUPE INTERSOL,,,2018-06-05,491,Management consulting,Services de conseillers en gestion,2018-06-05,2018-07-06,21508.3,21508.3,0,Program Management/Support Services,Services de soutien et de gestion de programmes,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R122,CA,TN,85,0,,N,A5,N,N,,PWSOSA,E60ZT-180028/133/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00095,4500378081,IRON MOUNTAIN,,,2018-04-01,859,Business services,Services commerciaux,2018-04-01,2019-03-31,17073.36,17073.36,0,Storage and Warehousing Services,Service d'emmagasinage et à l'entreposage,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,V505,CA,TN,85,0,,N,C,,N,,PWSOSA,E60LM-140024/001/LM,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00096,4500378087,IRON MOUNTAIN,,,2018-04-01,859,Business services,Services commerciaux,2018-04-01,2019-03-31,26641.1,26641.1,0,Storage and Warehousing Services,Service d'emmagasinage et à l'entreposage,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,V505,CA,TN,85,0,,N,C,,N,,PWSOSA,E60LM-140024/002/LM,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00098,4500378089,IRON MOUNTAIN,,,2018-04-01,859,Business services,Services commerciaux,2018-04-01,2019-03-31,91989.79,45999.79,0,Storage and Warehousing Services,Service d'emmagasinage et à l'entreposage,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,V505,CA,TN,85,0,,N,C,,N,,PWSOSA,E60LM-140024/001/LM,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00099,4500378089,IRON MOUNTAIN,,,2018-04-01,859,Business services,Services commerciaux,2018-04-01,2019-03-31,91989.79,45999.79,45990,Storage and Warehousing Services,Service d'emmagasinage et à l'entreposage,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,V505,CA,TN,85,0,,N,C,,N,,PWSOSA,E60LM-140024/001/LM,,,,,,A,,,*,aandc-aadnc,
C-2018-2019-Q1-00110,4500378434,IRON MOUNTAIN CANADA OPERATIONS ULC,,,2018-04-01,859,Business services,Services commerciaux,2018-04-01,2019-03-31,18918.18,23100.01,0,Storage and Warehousing Services,Service d'emmagasinage et à l'entreposage,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,Y,,,S,V505,CA,OB,0,0,,N,C,,N,,PWSOSA,E60LM-140024/003/LM,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00230,4500381378,KONICA MINOLTA BUSINESS EQUIPMENT,,,2018-06-13,1283,Computer equipment related to Distributed Computing Environment (DCE)—Desktop/personal/portable (includes all related parts and peripherals),Équipement informatique de l'environnement d'informatique répartie - Bureau/OP/ord. portable (y compris pièces et périphériques),2018-06-13,2019-03-31,10709.92,10709.92,0,Acq (inc Res) Computer Equipment - Desktop/PC/Port,Acq (inc res) matériel informatique - ordinateur bureau/personnel/portable,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,G,7010,CA,TN,86,0,,N,C,,N,,PWSOSA,EZ107-120003/005/VAN,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00229,4500381376,KONICA MINOLTA QUEBEC,,,2018-06-01,533,"Rental of machinery, office furniture and fixtures and other equipment","Location de machinerie, de mobilier et d'installation de bureau, et d'autres équipement",2018-06-01,2023-05-31,12250.4,12250.4,0,ADP Input-Output and Storage Devices - Rental,Dispositifs TAD d'entrée-sortie et de mémoire - location,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TN,86,0,,N,C,,N,,PWSOSA,EZ107-120003/005/VAN,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00279,A277074670,LANGUAGE RESEARCH DEVELOPMENT GROUP,,,2018-04-13,44,Training and educational services,"
Services d'enseignement et de formation",2018-04-13,2019-10-31,49707,49707,0,Staff Language Training,Formation linguistique du personnel,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,U005,CA,OB,0,0,,N,C,,N,,PWSOSA,EN-578-100808-151,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00155,4500379751,LANNICK RECRUITMENT OTTAWA,,,2018-05-09,491,Management consulting,Services de conseillers en gestion,2018-05-09,2020-03-31,103950,103950,0,Administrative and Management Support Services,Services administratifs et services aux entreprises,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,R019,CA,TC,0,0,,N,C,,N,,PWSOSA,E60ZT-180027/104/ZT,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00192,4500380610,MARKIDO INC.,,,2018-06-01,583,License/Maintenance fees for application software (including COTS) and application development and delivery software,Licences/maintenance des logiciels d'applications et de bases de données (y compris les COTS) et logiciels de développement et de maintenance des applications et des bases de données,2018-06-01,2019-03-31,20971.44,20971.44,0,License/Maintenance Fees for Client Software,Frais de licence/maintenance des logiciels client,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,G,7030,CA,TN,20,0,,N,B,N,N,,PWSOSA,EN578-100808/251/EE,,,,,,C,,,*,aandc-aadnc,
C-2018-2019-Q1-00211,4500380964,MDA GEOSPATIAL SERVICES,,,2018-06-04,362,Data and database access services,Services d'accès à des données et à des bases de données,2018-06-04,2019-03-31,28232.82,28232.82,0,Data and Database Access Services,Serv d'accès à des données/à des bases de données,Contract amendment value is only for Q1,Valeur de modifications est seulement pour T1,0,,,S,D317,CA,TN,87,0,,N,B,N,N,,PWSOSA,E60SQ-120001/003,,,,,,C,,,*,aandc-aadnc,
